                                                  
                                                                                                                                                                                                                                                                
       DIST           DE_CI  DIP_X  DIP_Y         DIP_Z
    1.08   -33635.22    0.0    0.0   0.66880751
    1.10   -33008.07    0.0    0.0   0.66938449
    1.12   -32322.10    0.0    0.0   0.66948891
    1.14   -31586.85    0.0    0.0   0.66910318
    1.16   -30810.84    0.0    0.0   0.66823686
    1.18   -30001.64    0.0    0.0   0.66683041
    1.20   -29166.01    0.0    0.0   0.66488904
    1.22   -28309.96    0.0    0.0   0.66240098
    1.24   -27438.85    0.0    0.0   0.65935498
    1.26   -26557.46    0.0    0.0   0.65574137
    1.28   -25670.05    0.0    0.0   0.65155237
    1.30   -24780.39    0.0    0.0   0.64678325
    1.32   -23891.85    0.0    0.0   0.64142709
    1.34   -23007.41    0.0    0.0   0.63548279
    1.36   -22129.72    0.0    0.0   0.62894993
    1.38   -21261.13    0.0    0.0   0.62183016
    1.40   -20403.72    0.0    0.0   0.61412729
    1.42   -19559.30    0.0    0.0   0.60584746
    1.44   -18729.50    0.0    0.0   0.59699918
    1.46   -17915.71    0.0    0.0   0.58759349
    1.48   -17119.19    0.0    0.0   0.57764404
    1.50   -16341.00    0.0    0.0   0.56716719
    1.52   -15582.07    0.0    0.0   0.55618208
    1.54   -14843.19    0.0    0.0   0.54471071
    1.56   -14125.05    0.0    0.0   0.53277797
    1.58   -13428.20    0.0    0.0   0.52041874
    1.60   -12753.11    0.0    0.0   0.50764953
    1.62   -12100.13    0.0    0.0   0.49451090
    1.64   -11469.54    0.0    0.0   0.48103898
    1.66   -10861.52    0.0    0.0   0.46727246
    1.68   -10276.18    0.0    0.0   0.45325236
    1.70    -9713.54    0.0    0.0   0.43902587
    1.72    -9173.56    0.0    0.0   0.42462939
    1.74    -8656.12    0.0    0.0   0.41011312
    1.76    -8161.04    0.0    0.0   0.39552397
                                                  
